epoch,g_loss,d_loss
1,0.764876,1.304837
2,0.986285,1.237551
3,1.020548,1.259213
4,1.047865,1.270844
5,1.066235,1.249985
6,1.119176,1.248156
7,1.084288,1.260463
8,1.029747,1.281865
9,1.048537,1.268674
10,1.038983,1.273373
11,1.017336,1.283363
12,0.998667,1.301799
13,0.982270,1.314026
14,0.936026,1.350224
15,0.921479,1.353164
16,0.919198,1.356329
17,0.914132,1.350720
18,0.921610,1.338837
19,0.916586,1.346315
20,0.909765,1.342906
21,0.911807,1.346233
22,0.913590,1.341744
23,0.914037,1.339141
24,0.916376,1.336717
25,0.902212,1.348221
26,0.896474,1.352359
27,0.896873,1.351094
28,0.893654,1.350110
29,0.891778,1.350685
30,0.890268,1.353117
31,0.889878,1.348759
32,0.890995,1.348755
33,0.890489,1.346640
34,0.891313,1.347412
35,0.890348,1.348066
36,0.883050,1.351066
37,0.885738,1.349009
38,0.885381,1.347974
39,0.884665,1.348592
40,0.879900,1.352703
41,0.880239,1.351365
42,0.879378,1.350830
43,0.877202,1.351901
44,0.881576,1.349779
45,0.878128,1.350697
46,0.877176,1.350742
47,0.879372,1.349672
48,0.875960,1.350068
49,0.876009,1.350614
50,0.874697,1.351241
1,0.944125,1.243970
2,1.398503,1.142374
3,1.600520,1.049472
4,1.633494,1.035555
5,1.610537,1.023869
6,1.698729,0.983850
7,1.524505,1.043159
8,1.383595,1.099222
9,1.300249,1.133902
10,1.267707,1.148060
11,1.253481,1.156858
12,1.246265,1.160984
13,1.258265,1.154303
14,1.278280,1.136318
15,1.290652,1.131605
16,1.281322,1.137831
17,1.277862,1.138710
18,1.274197,1.135260
19,1.290832,1.134263
20,1.291986,1.131400
21,1.295740,1.129568
22,1.283099,1.135052
23,1.274965,1.133328
24,1.300501,1.124718
25,1.292429,1.132184
26,1.301926,1.124840
27,1.299885,1.126025
28,1.305901,1.124550
29,1.301876,1.125278
30,1.299550,1.132350
31,1.295734,1.128975
32,1.303907,1.126007
33,1.303158,1.125027
34,1.306616,1.121464
35,1.312754,1.121095
36,1.312619,1.125358
37,1.312890,1.123252
38,1.309752,1.125659
39,1.309471,1.126370
40,1.308453,1.124604
41,1.310824,1.129310
42,1.307395,1.130937
43,1.309749,1.129643
44,1.308037,1.128060
45,1.308935,1.129915
46,1.313429,1.134401
47,1.301645,1.133904
48,1.306977,1.129754
49,1.297622,1.134826
50,1.295098,1.131304
1,0.884300,1.286463
2,1.320300,1.154014
3,1.454045,1.106711
4,1.531055,1.061610
5,1.727909,0.985592
6,1.637366,1.005049
7,1.559300,1.037590
8,1.425779,1.080788
9,1.395752,1.095082
10,1.399468,1.093064
11,1.298702,1.139163
12,1.246665,1.154698
13,1.255761,1.150344
14,1.280558,1.141718
15,1.281806,1.136224
16,1.266249,1.136097
17,1.277715,1.136679
18,1.264988,1.140080
19,1.262698,1.142089
20,1.267420,1.142736
21,1.268256,1.141465
22,1.274571,1.133175
23,1.281809,1.136816
24,1.271056,1.134211
25,1.260139,1.144714
26,1.280860,1.139116
27,1.275159,1.139933
28,1.289972,1.134824
29,1.277961,1.142466
30,1.288882,1.129081
31,1.293116,1.134119
32,1.286042,1.131970
33,1.301293,1.129600
34,1.298091,1.129445
35,1.305238,1.132297
36,1.305145,1.131067
37,1.301027,1.135363
38,1.298173,1.134653
39,1.300673,1.133529
40,1.296906,1.130779
41,1.298175,1.133421
42,1.322214,1.123391
43,1.318658,1.120545
44,1.313289,1.119976
45,1.306936,1.129250
46,1.326551,1.116221
47,1.329403,1.119041
48,1.330111,1.113625
49,1.340573,1.112763
50,1.342684,1.111724
1,0.934622,1.184349
2,1.376009,1.069542
3,1.438683,1.014429
4,1.465089,1.027017
5,1.482404,0.962304
6,1.551089,0.956088
7,1.478144,0.939224
8,1.331327,1.022367
9,1.189458,1.086412
10,1.124319,1.123375
11,1.150085,1.097387
